A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,John 1:40-42,Andrew Introduces Jesus to Simon Peter,"Jesus renames Peter as Cephas which means ""a stone.""",EST,5,4140,1506968,Monday,October,21,Heshvan,1,26,AD,Monday,September,28,Tishri,13,26,AD,N,343,1730826.75,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,John 1:43-44,"Jesus Instructs Philip to ""Follow Me""",,EST,6,4140,1506969,Tuesday,October,22,Heshvan,2,26,AD,Tuesday,September,29,Tishri,14,26,AD,N,344,1730827.75,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,John 1:45-51,Philip Introduces Nathanael to Jesus,,EST,6,4140,1506969,Tuesday,October,22,Heshvan,2,26,AD,Tuesday,September,29,Tishri,14,26,AD,N,344,1730827.75,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,John 2:1-11,Jesus Turns Water to Wine in Cana,"”On the third day” may refer to the third day of the wedding feast or the number of days the disciples were following Jesus. It is very possible that this refers to the third day of the month of Heshvan in the year 26 AD on the solar Gregorian-Hebrew used in the New Testament according the this research. The wedding may be connected to an invitation from Nathanael since he was from Cana, according to John 21:2.",EST,7,4140,1506970,Wednesday,October,23,Heshvan,3,26,AD,Wednesday,September,30,Tishri,15,26,AD,N,345,1730828.75,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,John 2:12,Jesus Goes to Capernaum With Family & Disciples,,EST,14,4140,1506977,Wednesday,October,30,Heshvan,10,26,AD,Wednesday,October,7,Tishri,22,26,AD,N,352,1730835.75,0,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Luke 4:14-15,Jesus Began Teaching in Synagogues in Galilee,,SDIS,26,4140,1506989,Monday,November,11,Heshvan,22,26,AD,Monday,October,19,Creation Day,3,26,AD,N,364,1730847.75,0,12,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,John 2:13,Jesus Goes to Jerusalem For 27 AD Passover,This is the first of four Passover's in the Public Ministry of Jesus.,ESDIS,172,4140,1507135,Sunday,April,6,Nisan,19,27,AD,Sunday,March,14,Adar,22,27,AD,N,145,1730993.75,0,146,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,John 2:13,Nisan 10-Start of Passover Feast in 27 AD,,ESDIS,190,4140,1507153,Thursday,April,24,Iyar,7,27,AD,Thursday,April,1,Nisan,10,27,AD,N,163,1731011.75,0,18,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,John 2:14-17,Nisan 11-First Time Jesus Cleanses the Temple,"Jesus would cleanse the Temple again three years later on Nisan 11 in 30 AD during Easter Week. The second cleansing of the Temple in 30 AD is recorded in Matthew 21:12-13, Mark 11:15-17, and Luke 19:45-46.",Sol-Passover,191,4140,1507154,Friday,April,25,Iyar,8,27,AD,Friday,April,2,Nisan,11,27,AD,N,164,1731012.75,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,John 2:18-22,"Jews Ask For Sign of His ""Cleansing"" Authority","This event occurs forty-six years after the start of the building of the Herodian Temple in 19 BC. Jesus' statement, ""Destroy this temple, and in three days I will raise it up"", would be misquoted and used against him at his trial in Matthew 26:61 and Mark 14:58.",EST,191,4140,1507154,Friday,April,25,Iyar,8,27,AD,Friday,April,2,Nisan,11,27,AD,N,164,1731012.75,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,John 2:13,Nisan 14 Passover in 27 AD,Nisan 14 Passover is the solar date from Creation (SDFC) when we look at events in the New Testament. Now we are dealing with a solar calendar. Nisan 14 always falls on April 5 on the Gregorian calendar in a non-leap year. Nisan 14 falls on April 3 in a leap year.,EST,194,4140,1507157,Monday,April,28,Iyar,11,27,AD,Monday,April,5,Nisan,14,27,AD,N,167,1731015.75,0,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,John 3:1-21,Nicodemus Comes to Jesus at Night,"Jesus teaches on the need to be ""born again"".",EST,197,4140,1507160,Thursday,May,1,Iyar,14,27,AD,Thursday,April,8,Nisan,17,27,AD,N,170,1731018.75,0,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,John 3:22-24,Jesus and Disciples Baptize in Judea,"John the Baptist teaches close by in Aenon near Salim. At this point in the New Testament, John the Baptist is getting close to the time that he will be put in prison.",EST,200,4140,1507163,Sunday,May,4,Iyar,17,27,AD,Sunday,April,11,Nisan,20,27,AD,N,173,1731021.75,0,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,John 3:25,John's Disciples Discuss Purification With Jews,,EST,202,4140,1507165,Tuesday,May,6,Iyar,19,27,AD,Tuesday,April,13,Nisan,22,27,AD,N,175,1731023.75,0,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,John 3:26,"John's Disciples Discuss ""Success"" of Jesus' Baptizing",,EST,203,4140,1507166,Wednesday,May,7,Iyar,20,27,AD,Wednesday,April,14,Nisan,23,27,AD,N,176,1731024.75,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,John 3:27-36,John Tells How Jesus is More Important Than Him,,EST,203,4140,1507166,Wednesday,May,7,Iyar,20,27,AD,Wednesday,April,14,Nisan,23,27,AD,N,176,1731024.75,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,John 4:1-2,Pharisees Hear Jesus is Baptizing More Than John,,EST,204,4140,1507167,Thursday,May,8,Iyar,21,27,AD,Thursday,April,15,Nisan,24,27,AD,N,177,1731025.75,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,John 4:3-4,Jesus Departs for Galilee by Way of Samaria,,EST,204,4140,1507167,Thursday,May,8,Iyar,21,27,AD,Thursday,April,15,Nisan,24,27,AD,N,177,1731025.75,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,John 4:5-6,Jesus and Disciples Arrive in Samaria,,EST,207,4140,1507170,Sunday,May,11,Iyar,24,27,AD,Sunday,April,18,Nisan,27,27,AD,N,180,1731028.75,0,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,John 4:5-38,Jesus Speaks With Samaritan Woman at Jacob's well,"Jesus meets with a Samaritan woman four months before the August wheat harvest, according to John 4:34. Notice the solar date of this event is mid-April.",EST,207,4140,1507170,Sunday,May,11,Iyar,24,27,AD,Sunday,April,18,Nisan,27,27,AD,N,180,1731028.75,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,John 4:39-42,Jesus Teaches in Samaria for Two Days,,EST,209,4140,1507172,Tuesday,May,13,Iyar,26,27,AD,Tuesday,April,20,Nisan,29,27,AD,N,182,1731030.75,0,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Matthew 14:3-4; Mark 6:17-20; Luke 3:18-20,Herod Puts John the Baptist in Prison,,EST,251,4140,1507214,Tuesday,June,24,Tammuz,9,27,AD,Tuesday,June,1,Sivan,12,27,AD,N,224,1731072.75,0,42,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Mark 1:14-15; Luke 4:14-15; John 4:45,Jesus is Welcomed in Galilee,,EST,264,4140,1507227,Monday,July,7,Tammuz,22,27,AD,Monday,June,14,Sivan,25,27,AD,N,237,1731085.75,0,13,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,John 4:46-54,Jesus Heals a Nobleman's Son-Second Sign in Cana,A nobleman's son is healed in Capernaum while Jesus is in Cana.,EST,267,4140,1507230,Thursday,July,10,Tammuz,25,27,AD,Thursday,June,17,Sivan,25,27,AD,N,240,1731088.75,0,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Matthew 4:18-22; Mark 1:16-20; Luke 5:1-11,Jesus Calls His First Disciples,,EST,299,4140,1507262,Monday,August,12,Av,28,27,AD,Monday,July,19,Av,1,27,AD,N,272,1731120.75,0,32,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Luke 4:16-30,Jesus Rejected in Nazareth Teaching From Isaiah,,EST,325,4140,1507288,Saturday,September,7,Elul,24,27,AD,Saturday,August,14,Av,27,27,AD,N,298,1731146.75,0,26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Matthew 4:13-17; Luke 4:31,Jesus Returns to Teach in Capernaum,,EST,326,4140,1507289,Sunday,September,8,Elul,25,27,AD,Sunday,August,15,Av,28,27,AD,N,299,1731147.75,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Mark 1:21-28; Luke 4:31-37,Jesus Casts Out a Demon in Capernaum,,EST,360,4140,1507323,Saturday,October,12,Tishri,30,27,AD,Saturday,September,18,Tishri,3,27,AD,N,333,1731181.75,0,34,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Matthew 4:23-25; Mark 1:35-39; Luke 4:42-44,Jesus Leaves Capernaum to Preach In Other Cities,,EST,361,4140,1507324,Sunday,October,13,Tishri,31,27,AD,Sunday,September,19,Tishri,4,27,AD,N,333,1731182.75,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Matthew 4:23-25; Mark 1:39; Luke 4:33-44,News of Jesus Ability to Heal Spread to All of Galilee,,EST,361,4140,1507324,Sunday,October,13,Tishri,31,27,AD,Sunday,September,19,Tishri,4,27,AD,N,333,1731182.75,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Matthew 5:1-7:29; Luke 6:20-49,Jesus Preaches the Sermon on the Mount,,EST,26,4141,1507353,Monday,November,11,Heshvan,22,27,AD,Monday,October,18,Creation Day,1,27,AD,N,362,1731211.75,0,29,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Matthew 8:1-4; Mark 1:40-45; Luke 5:12-16,Leper Healed and Response Recorded,,EST,26,4141,1507353,Monday,November,11,Heshvan,22,27,AD,Monday,October,18,Creation Day,1,27,AD,N,362,1731211.75,0,0,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Matthew 8:5-13; Luke 7:1-10,The Centurion's Servant is Healed,,EST,27,4141,1507354,Tuesday,November,12,Heshvan,23,27,AD,Tuesday,October,19,Creation Day,2,27,AD,N,363,1731212.75,0,1,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Luke 7:11-16,A Widow's Son is Raised,This happened in the city of Nain which was a small town South East of Nazareth.,EST,28,4141,1507355,Wednesday,November,13,Heshvan,24,27,AD,Wednesday,October,20,Creation Day,3,27,AD,N,364,1731213.75,0,1,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Matthew 8:14-15; Mark 1:29-31; Luke 4:38-39,Peter's Mother-In-Law is Healed in Peter's House,,EST,31,4141,1507358,Saturday,November,16,Heshvan,27,27,AD,Saturday,October,23,Creation Day,6,27,AD,N,1,1731216.75,0,3,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Matthew 8:16-17; Mark 1:32-34; Luke 4:40-41,Mass Healings Begin in Peter's Capernaum House,,ESDIS,32,4141,1507359,Sunday,November,17,Heshvan,28,27,AD,Sunday,October,24,Creation Day,7,27,AD,N,2,1731217.75,0,1,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Matthew 8:18-22,Demands of Discipleship,,ESDIS,32,4141,1507359,Sunday,November,17,Heshvan,28,27,AD,Sunday,October,24,Creation Day,7,27,AD,N,2,1731217.75,0,0,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,John 5:1-16,Jesus Heals Paralytic on Sabbath Passover Week 28 AD,"Jesus heals a paralytic man on the Sabbath. Monday, April 3-Nisan 14, the day of Passover, would occur two days later on the solar Gregorian-Hebrew calendar in 28 AD. This year is a leap year on the solar calendar and can be given a precise date according to this research.",Sol-Passover,192,4141,1507519,Saturday,April,26,Iyar,9,28,AD,Saturday,April,1,Nisan,12,28,AD,L,165,1731377.75,0,160,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,John 5:17-18,Jews Want to Kill Jesus Claiming God is His Father,The Jew also wanted to kill Jesus for healing on the Sabbath.,EST,192,4141,1507519,Saturday,April,26,Iyar,9,28,AD,Saturday,April,1,Nisan,12,28,AD,L,165,1731377.75,0,0,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,John 5:1,Nisan 14 Passover in 28 AD in a Leap Year,Nisan 14 Passover is the solar date from Creation (SDFC) when we look at events in the New Testament. Now we are dealing with a solar calendar. Nisan 14 always falls on April 5 on the Gregorian calendar in a non-leap year. Nisan 14 falls on April 3 in a leap year.,EST,194,4141,1507521,Monday,April,28,Iyar,11,28,AD,Monday,April,3,Nisan,14,28,AD,L,167,1731379.75,0,2,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Matthew 14:1-12; Mark 6:21-29,Herod Antipas Kills John the Baptist,,EST,114,4142,1507805,Friday,February,9,Shevat,21,29,AD,Friday,January,12,Tevet,20,29,AD,N,84,1731663.75,0,284,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,John 6:1-4,Jesus Goes to the Sea of Galilee as Passover Approaches,,EST,165,4142,1507856,Sunday,March,30,Nisan,12,29,AD,Sunday,March,4,Adar,12,29,AD,N,135,1731714.75,0,51,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Matthew 14:13-21; Mark 6:31-44,"Jesus Feeds 5,000 People",,EST,166,4142,1507857,Monday,March,31,Nisan,13,29,AD,Monday,March,5,Adar,13,29,AD,N,136,1731715.75,0,1,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Matthew 14:22-33; Mark 6:45-52; John 6:16-21,Jesus Walks on Water of the Sea of Galilee,,EST,167,4142,1507858,Tuesday,April,1,Nisan,14,29,AD,Tuesday,March,6,Adar,14,29,AD,N,137,1731716.75,0,1,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Matthew 14:34-36; Mark 6:53-56,Jesus Heals Many at Gennesaret,,EST,167,4142,1507858,Tuesday,April,1,Nisan,14,29,AD,Tuesday,March,6,Adar,14,29,AD,N,137,1731716.75,0,0,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,John 6:22-59,"Jesus Teaches ""I am the Bread of Life"" at Capernaum",,EST,168,4142,1507859,Wednesday,April,2,Nisan,15,29,AD,Wednesday,March,7,Adar,15,29,AD,N,138,1731717.75,0,1,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,John 6:60-66,Many Followers Reject Jesus and His Teaching,,EST,169,4142,1507860,Thursday,April,3,Nisan,16,29,AD,Thursday,March,8,Adar,16,29,AD,N,139,1731718.75,0,1,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,John 6:67-69,"Peter Confesses Jesus as ""Son of the Living God""","It is important to note that the estimated date, that Peter makes this important “confession”, is Nisan 17 on the 364-Day calendar. Nisan 17 is the date that the Ark comes to rest in the mountains of Ararat in 2457 BC. This date is exactly 1,473 years after Israel makes first camp at Succoth in 1445 BC, starting the Exodus. One year after Peter’s Confession of Jesus as, “the Christ, the Son of the living God”, Nisan 17 on a solar calendar is the evening of the resurrection when Jesus meets with His disciples, when Thomas is absent. This is described in John 20:19-23.",EST,170,4142,1507861,Friday,April,4,Nisan,17,29,AD,Friday,March,9,Adar,17,29,AD,N,140,1731719.75,0,1,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,John 6:70-71,"Jesus Says Judas Iscariot is a ""Devil""","This portion of the Biblical text emphasizes that it is Jesus who chose the disciples and emphasizes His sovereignty. The MacArthur Study Bible is very helpful in accurately assessing the true character of Judas and the connection to the influence of Satan. Judas is not just “a devil”. John 13:27 makes it very clear that “Satan entered him”, referring to Judas. Some writers have mistakenly suggested that Judas was just a misguided visionary who was trying to force Jesus into starting His Kingdom. The evil heart of Judas was clearly involved in his betrayal of Jesus.",Sol-Passover,170,4142,1507861,Friday,April,4,Nisan,17,29,AD,Friday,March,9,Adar,17,29,AD,N,140,1731719.75,0,0,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Matthew 14:1-2; Mark 6:14-16; Luke 9:7-9,Herod Antipas Thinks Jesus is John the Baptist Risen,"In this part of Scripture, even Herod Antipas recognizes that Jesus has some type of supernatural power. Mark 6:14-16 outlines how Jesus was seen by many Jews as Elijah. It was expected that Elijah would return just before the arrival of the Messiah. Others saw Jesus as a special messenger, like one of the Prophets from the Old Testament. Jesus was clearly seen by many Jews as “special”, but many did not seem to conclude that he was the expected Messiah.",SDIS,177,4142,1507868,Friday,April,11,Nisan,24,29,AD,Friday,March,16,Adar,24,29,AD,N,147,1731726.75,0,7,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,John 6:4,Nisan 14 Passover in 29 AD,"Nisan 14 Passover is the Solar Date from Creation (SDFC) when we look at events in the New Testament, since we are now dealing with a solar calendar. Nisan 14 Passover always falls on April 5 on the Gregorian calendar in a non-leap year. Nisan 14 falls on April 3 in a leap year.",SDIS,197,4142,1507888,Thursday,May,1,Iyar,14,29,AD,Thursday,April,5,Nisan,14,29,AD,N,167,1731746.75,0,20,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,John 12:1,Jesus in Bethany Six Days Before Passover 30 AD,"It is likely that Lazarus had been raised from the dead just a few days prior to this event. The Jews are now plotting to kill Jesus and Lazarus. The raising of Lazarus was probably the ""last straw"" that triggered the anger of the Jewish leaders to plot the murder of Jesus.",SDIS,192,4143,1508247,Saturday,April,26,Iyar,9,30,AD,Saturday,March,30,Nisan,8,30,AD,N,161,1732105.75,0,359,100.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Matthew 26:6-13; Mark 14:3-9; John 12:2-8,Martha Serves Supper & Mary Anoints Jesus' Feet,"This evening meal, at the house of Simon the Leper, in Bethany begins the events on Sunday on the Hebrew calendar. It can be speculated that Simon may have been someone who had been healed by Jesus. Martha and Mary are apparently serving the meal for Simon. Mary, the sister of Lazarus, anoints the feet of Jesus, according to John 12:3. Matthew 26:7 and Mark 14:3 say that she also anointed the head of Jesus. She used very costly fragrant oil and breaks the alabaster flask, according to Mark 14:3. According to the footnotes for Mark 14:5 in the MacArthur Study Bible, the oil was valued at about 300 denarii. This amount would be about a year’s wages for a common laborer. It was apparently common to pay one denarii as a day’s wage. The alabaster flask containing the oil probably came from Egypt and would have also been very expensive. Many of the disciples object to this extravagance. This protest was led by Judas, the treasurer of the group. Matthew 26:12-13 echoes the response of Jesus in Mark 14:8-9 when he says, “She has done what she could. She has come beforehand to anoint My body for burial. Assuredly, I say to you, wherever this gospel is preached in the whole world, what this woman has done will also be told as a memorial to her”. Another woman anoints Jesus’ feet at a Pharisee’s house named Simon at a different time and location, as recorded in Luke 7:36-39. On this second occasion, Jesus tells the Parable of the Two Debtors found in Luke 7:40-50.",SDIS,193,4143,1508248,Sunday,April,27,Iyar,10,30,AD,Sunday,March,31,Nisan,9,30,AD,N,162,1732106.75,0,1,100.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,John 12:9-11,Chief Priests Plot to Kill Lazarus and Jesus,The Chief Priests come to see the recently raised Lazarus. They decide to plot the murder of both Jesus and Lazarus. These events happen during the daylight hours following the events of the previous evening at supper when Mary anointed the feet of Jesus. The next day would be Nisan 10 and the start of the Feast of Passover.,SDIS,193,4143,1508248,Sunday,April,27,Iyar,10,30,AD,Sunday,March,31,Nisan,9,30,AD,N,162,1732106.75,0,0,100.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Matthew 21:1-11; Mark 11:1-10; Luke 19:28-40,The Triumphal Entry of Jesus Into Jerusalem ,"This event happens on Monday, Nisan 10 on the Gregorian-Hebrew solar calendar and is often mistakenly called “Palm Sunday”. On the 364-Day calendar, the date of this event is Monday, April 28 – Iyar 11 in 30 AD. This event, on Nisan 10 of the solar calendar, starts the Feast of Passover. On this day the Sacrificial Lamb is chosen to be sacrificed four days later. On this day in 30 AD, Jesus would be hailed as a Prophet from Galilee (Matthew 21:11). On Friday, the day of Passover just four days later, many of these same people would be saying, “Crucify him”, according to Mark 15:13-14, Luke 23:21, and John 19:15. On this same Monday, Iyar 11 date in 1445 BC, God parts the Red Sea at PiHahiroth. Four days after crossing the Red Sea, “on the fifteenth day of the second month after they departed from the land of Egypt”, the nation of Israel makes camp in the Wilderness of Sin, according to Exodus 16:1.",SDIS,194,4143,1508249,Monday,April,28,Iyar,11,30,AD,Monday,April,1,Nisan,10,30,AD,N,163,1732107.75,0,1,100.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
